image_path,device_type,defect_type,text_prompt
data\phone_screen_defects\Datacluster Cracked Screen (57).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (283).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (214).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (19).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (260).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (289).jpg,phone,back panel damaging,The back panel of the device is damaged.
data\phone_screen_defects\Datacluster Cracked Screen (196).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (18).jpg,phone,battery swelling,The phone is cracked and has a swollen battery.
data\phone_screen_defects\Datacluster Cracked Screen (281).jpg,phone,cracked screen,The phone is broken and has a cracked screen.
data\phone_screen_defects\Datacluster Cracked Screen (169).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (193).jpg,phone,cracked screen,The phone has a cracked screen.
data\phone_screen_defects\Datacluster Cracked Screen (250).jpg,phone,cracked screen,The screen is cracked and has a yellowish tint.
data\phone_screen_defects\Datacluster Cracked Screen (271).jpg,phone,cracked screen,The screen is cracked and has a lot of scratches on it.
data\phone_screen_defects\Datacluster Cracked Screen (247).jpg,phone,cracked screen,The screen of the cell phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (38).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (25).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (272).jpg,phone,charging port issue,The charging port of the phone is broken.
data\phone_screen_defects\Datacluster Cracked Screen (45).jpg,phone,cracked screen,The screen is cracked and broken.
data\phone_screen_defects\Datacluster Cracked Screen (172).jpg,phone,cracked screen,The screen is cracked and broken.
data\phone_screen_defects\Datacluster Cracked Screen (231).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (204).jpg,phone,cracked screen,The screen is cracked and broken.
data\phone_screen_defects\Datacluster Cracked Screen (265).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (182).jpg,phone,cracked screen,The screen of the cell phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (221).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (210).jpg,phone,cracked screen,The device is a cell phone.
data\phone_screen_defects\Datacluster Cracked Screen (223).jpg,phone,cracked screen,The screen of the device is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (56).jpg,phone,cracked screen,The phone has a cracked screen.
data\phone_screen_defects\Datacluster Cracked Screen (207).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (191).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (208).jpg,phone,back panel damaging,The back panel of the phone is damaged.
data\phone_screen_defects\Datacluster Cracked Screen (233).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (29).jpg,phone,back panel damaging,"The back panel of the device is damaged, with a cracked screen and a shattered back panel."
data\phone_screen_defects\Datacluster Cracked Screen (228).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (183).jpg,phone,cracked screen,The screen is cracked and broken.
data\phone_screen_defects\Datacluster Cracked Screen (261).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (181).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (194).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (49).jpg,phone,back panel damaging,The back panel of the device is damaged.
data\phone_screen_defects\Datacluster Cracked Screen (288).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (164).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (279).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (167).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (188).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (229).jpg,phone,cracked screen,The screen is cracked and broken.
data\phone_screen_defects\Datacluster Cracked Screen (165).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (23).jpg,phone,cracked screen,The screen of the phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (268).jpg,phone,cracked screen,The screen of the device is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (195).jpg,phone,cracked screen,The phone has a cracked screen.
data\phone_screen_defects\Datacluster Cracked Screen (170).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (234).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (205).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (156).jpg,phone,cracked screen,The screen of the device is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (17).jpg,phone,battery swelling,The phone is cracked and has a swollen battery.
data\phone_screen_defects\Datacluster Cracked Screen (161).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (14).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (242).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (267).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (187).jpg,phone,cracked screen,The phone is cracked and has a broken screen.
data\phone_screen_defects\Datacluster Cracked Screen (199).jpg,phone,cracked screen,The screen is cracked and broken.
data\phone_screen_defects\Datacluster Cracked Screen (26).jpg,phone,cracked screen,The screen is cracked and broken.
data\phone_screen_defects\Datacluster Cracked Screen (52).jpg,phone,back panel damaging,The back panel of the phone is damaged.
data\phone_screen_defects\Datacluster Cracked Screen (152).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (197).jpg,phone,cracked screen,The screen is cracked and broken.
data\phone_screen_defects\Datacluster Cracked Screen (239).jpg,phone,cracked screen,"The device's screen is cracked, which is the defect type."
data\phone_screen_defects\Datacluster Cracked Screen (12).jpg,phone,back panel damaging,The back panel of the phone is damaged.
data\phone_screen_defects\Datacluster Cracked Screen (297).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (173).jpg,phone,cracked screen,The screen of the device is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (42).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (212).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (41).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (153).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (245).jpg,phone,cracked screen,The phone has a cracked screen.
data\phone_screen_defects\Datacluster Cracked Screen (255).jpg,phone,cracked screen,The screen of the device is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (22).jpg,phone,back panel damaging,"The back panel of the phone is damaged, with a cracked screen and a broken back panel."
data\phone_screen_defects\Datacluster Cracked Screen (224).jpg,phone,cracked screen,The device has a cracked screen.
data\phone_screen_defects\Datacluster Cracked Screen (202).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (5).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (174).jpg,phone,cracked screen,The screen is cracked and has a blue light shining through it.
data\phone_screen_defects\Datacluster Cracked Screen (185).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (162).jpg,phone,cracked screen,The screen is cracked and broken.
data\phone_screen_defects\Datacluster Cracked Screen (37).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (278).jpg,phone,battery swelling,The phone is damaged due to a battery swelling.
data\phone_screen_defects\Datacluster Cracked Screen (32).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (163).jpg,phone,cracked screen,The screen is cracked and broken.
data\phone_screen_defects\Datacluster Cracked Screen (35).jpg,phone,camera defect,The camera defect is a reflection of a person's face.
data\phone_screen_defects\Datacluster Cracked Screen (264).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (158).jpg,phone,back panel damaging,The back panel of the cell phone is damaged.
data\phone_screen_defects\Datacluster Cracked Screen (291).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (186).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (59).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (209).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (9).jpg,phone,back panel damaging,"The back panel of the device is damaged, with a cracked and shattered appearance."
data\phone_screen_defects\Datacluster Cracked Screen (295).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (180).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (220).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (27).jpg,phone,cracked screen,The screen is cracked and broken.
data\phone_screen_defects\Datacluster Cracked Screen (253).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (48).jpg,phone,cracked screen,The screen is cracked and broken.
data\phone_screen_defects\Datacluster Cracked Screen (298).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (285).jpg,phone,broken hinge,The image shows a broken cell phone with a cracked screen and a broken hinge.
data\phone_screen_defects\Datacluster Cracked Screen (215).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (227).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (219).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (292).jpg,phone,normal device,The phone is black and has a green button.
data\phone_screen_defects\Datacluster Cracked Screen (262).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (294).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (34).jpg,phone,back panel damaging,The back panel is damaged.
data\phone_screen_defects\Datacluster Cracked Screen (16).jpg,phone,battery swelling,The phone is cracked and has a swollen battery.
data\phone_screen_defects\Datacluster Cracked Screen (232).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (157).jpg,phone,cracked screen,The phone has a cracked screen.
data\phone_screen_defects\Datacluster Cracked Screen (206).jpg,phone,cracked screen,The device is an iPhone.
data\phone_screen_defects\Datacluster Cracked Screen (40).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (10).jpg,phone,cracked screen,The phone has a cracked screen.
data\phone_screen_defects\Datacluster Cracked Screen (7).jpg,phone,cracked screen,The screen of the device is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (8).jpg,phone,cracked screen,The screen is cracked and has a broken part.
data\phone_screen_defects\Datacluster Cracked Screen (198).jpg,phone,cracked screen,The image shows a cracked cell phone screen.
data\phone_screen_defects\Datacluster Cracked Screen (249).jpg,phone,cracked screen,The phone is cracked and has a broken screen.
data\phone_screen_defects\Datacluster Cracked Screen (252).jpg,phone,cracked screen,The screen of the phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (11).jpg,phone,cracked screen,The screen of the device is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (154).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (222).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (226).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (269).jpg,phone,cracked screen,The phone has a cracked screen.
data\phone_screen_defects\Datacluster Cracked Screen (60).jpg,phone,back panel damaging,The back panel of the device is damaged.
data\phone_screen_defects\Datacluster Cracked Screen (58).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (266).jpg,phone,cracked screen,The screen is cracked and broken.
data\phone_screen_defects\Datacluster Cracked Screen (171).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (248).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (284).jpg,phone,back panel damaging,The back panel of the cell phone is damaged.
data\phone_screen_defects\Datacluster Cracked Screen (36).jpg,phone,cracked screen,The cracked screen is located on the left side of the image.
data\phone_screen_defects\Datacluster Cracked Screen (299).jpg,phone,cracked screen,The phone has a cracked screen.
data\phone_screen_defects\Datacluster Cracked Screen (179).jpg,phone,cracked screen,The screen of the cell phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (2).jpg,phone,cracked screen,"The device's screen is cracked, which is visible in the image."
data\phone_screen_defects\Datacluster Cracked Screen (270).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (178).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (241).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (51).jpg,phone,back panel damaging,The back panel of the phone is damaged.
data\phone_screen_defects\Datacluster Cracked Screen (213).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (257).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (4).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (275).jpg,phone,cracked screen,The screen is cracked and has a broken part.
data\phone_screen_defects\Datacluster Cracked Screen (155).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (244).jpg,phone,cracked screen,The phone has a cracked screen.
data\phone_screen_defects\Datacluster Cracked Screen (238).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (28).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (276).jpg,phone,back panel damaging,"The back panel of the phone is damaged, with a cracked screen and a broken frame."
data\phone_screen_defects\Datacluster Cracked Screen (184).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (159).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (235).jpg,phone,cracked screen,The device has a cracked screen.
data\phone_screen_defects\Datacluster Cracked Screen (53).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (15).jpg,phone,cracked screen,The phone has a cracked screen.
data\phone_screen_defects\Datacluster Cracked Screen (160).jpg,phone,back panel damaging,The back panel of the cell phone is damaged.
data\phone_screen_defects\Datacluster Cracked Screen (46).jpg,phone,cracked screen,The screen is cracked and broken.
data\phone_screen_defects\Datacluster Cracked Screen (201).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (259).jpg,phone,cracked screen,The screen of the cell phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (55).jpg,phone,cracked screen,The phone has a cracked screen.
data\phone_screen_defects\Datacluster Cracked Screen (230).jpg,phone,battery swelling,The phone is broken.
data\phone_screen_defects\Datacluster Cracked Screen (47).jpg,phone,cracked screen,The screen is cracked and has a yellowish tint.
data\phone_screen_defects\Datacluster Cracked Screen (192).jpg,phone,cracked screen,The phone has a cracked screen.
data\phone_screen_defects\Datacluster Cracked Screen (189).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (286).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (287).jpg,phone,cracked screen,The phone is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (254).jpg,phone,cracked screen,The screen is cracked.
data\phone_screen_defects\Datacluster Cracked Screen (31).jpg,phone,cracked screen,The cracked screen is located on the right side of the device.
