device_id,brand,model,original_price,release_year,purchase_year,age_months,num_defects,defect_ids,defect_names,has_screen_damage,has_water_damage,has_battery_issue,has_physical_damage,has_critical_defect,total_severity_score,avg_severity_score,total_repair_cost,condition_score,condition_grade,base_price_after_depreciation,resale_price
DEV_00054,Lenovo,IdeaPad Slim 3,42990,2021,2022,34,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.21,A,28660,28900
DEV_00055,Apple,MacBook Pro 14,194900,2021,2021,47,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.59,A,108819,109800
DEV_00056,Samsung,Galaxy Book2 360,109990,2022,2023,19,1,BAT002,Battery Swelling,0,0,1,0,1,10,10.0,3000,0.0,F,87075,29700
DEV_00057,Apple,MacBook Air M2,119900,2022,2022,35,2,"SCR001,BAT002","Cracked Screen,Battery Swelling",1,0,1,0,1,19,9.5,7000,0.8,F,78934,18900
DEV_00058,Samsung,Galaxy A54,38999,2023,2024,12,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.59,A,33149,33700
DEV_00059,HP,Pavilion 15,58990,2022,2021,45,1,PHY001,Physical Dent,0,0,0,1,0,4,4.0,2000,5.66,C,33919,25700
DEV_00060,OnePlus,OnePlus 11,56999,2023,2023,22,1,HNG001,Broken Hinge,0,0,0,1,0,7,7.0,3500,3.04,D,43699,26000
DEV_00061,Apple,iPhone 12,65900,2020,2023,21,2,"SCR001,AUD001","Cracked Screen,Audio Issues",1,0,0,0,1,13,6.5,5500,3.29,D,51072,24200
DEV_00062,HP,EliteBook 840,95990,2022,2021,41,1,BAT002,Battery Swelling,0,0,1,0,1,10,10.0,3000,0.0,F,58393,21100
DEV_00063,HP,Envy 13,84990,2021,2022,32,1,PHY001,Physical Dent,0,0,0,1,0,4,4.0,2000,6.14,C,58076,43300
DEV_00064,HP,Pavilion 15,58990,2022,2024,3,1,CAM001,Camera Defect,0,0,0,0,0,5,5.0,3000,5.03,C,56777,42900
DEV_00065,Samsung,Galaxy Book2 360,109990,2022,2022,25,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.43,A,81575,82800
DEV_00066,Apple,iPhone 13,79900,2021,2024,7,1,OVR001,Overheating,0,0,0,0,1,8,8.0,2000,1.83,F,72908,42800
DEV_00067,HP,Pavilion 15,58990,2022,2023,16,2,"AUD001,CHG001","Audio Issues,Charging Port Issue",0,0,0,0,0,9,4.5,3000,5.59,C,48175,33300
DEV_00068,Samsung,Galaxy S23 Ultra,124999,2023,2024,10,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.17,A,109374,107700
DEV_00069,Samsung,Galaxy Book2 360,109990,2022,2021,40,1,CAM001,Camera Defect,0,0,0,0,0,5,5.0,3000,4.72,D,67827,48100
DEV_00070,Samsung,Galaxy S23 Ultra,124999,2023,2021,47,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.78,A,69791,72700
DEV_00071,Apple,iPhone 11,54900,2019,2022,29,3,"KEY001,BAT002,DSP001","Keyboard Malfunction,Battery Swelling,Display Flickering",1,0,1,0,1,22,7.33,9000,2.77,F,38887,9600
DEV_00072,Apple,MacBook Pro 14,194900,2021,2022,34,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.59,A,129933,122600
DEV_00073,OnePlus,OnePlus 11,56999,2023,2023,15,1,BAT001,Battery Drain,0,0,1,0,0,6,6.0,2500,3.98,D,47024,32200
DEV_00074,Samsung,Galaxy Note 20,79999,2020,2021,41,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.89,A,48666,46500
DEV_00075,Samsung,Galaxy Book Pro,89990,2021,2022,31,1,AUD001,Audio Issues,0,0,0,0,0,4,4.0,1500,5.67,C,62243,49200
DEV_00076,Samsung,Galaxy A54,38999,2023,2024,5,1,BTN001,Button Damage,0,0,0,1,0,3,3.0,1000,7.04,B,36561,30500
DEV_00077,Lenovo,IdeaPad Slim 3,42990,2021,2021,39,2,"KEY001,OVR001","Keyboard Malfunction,Overheating",0,0,0,0,1,14,7.0,4500,3.37,D,26868,13600
DEV_00078,Samsung,Galaxy S22,72999,2022,2023,16,4,"BTN001,HNG001,AUD001,KEY001","Button Damage,Broken Hinge,Audio Issues,Keyboard Malfunction",0,0,0,1,0,20,5.0,8500,5.32,C,59615,28300
DEV_00079,Samsung,Galaxy Z Fold 4,159999,2022,2021,37,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.52,A,102666,101600
DEV_00080,Apple,MacBook Air M2,119900,2022,2023,21,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.34,A,92922,95500
DEV_00081,HP,Pavilion 15,58990,2022,2024,2,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.36,A,57515,54400
DEV_00082,HP,Pavilion 15,58990,2022,2022,36,2,"CHG001,WTR001","Charging Port Issue,Water Damage",0,1,0,0,1,15,7.5,9500,2.75,F,38343,10300
DEV_00083,OnePlus,OnePlus Nord 3,33999,2023,2024,2,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.42,A,33149,33500
DEV_00084,OnePlus,OnePlus 11,56999,2023,2021,41,2,"SCR002,CAM001","Screen Scratch,Camera Defect",1,0,0,0,0,8,4.0,3000,6.17,C,34674,24800
DEV_00085,Apple,iPhone 12,65900,2020,2023,16,2,"DSP001,BTN001","Display Flickering,Button Damage",1,0,0,1,0,9,4.5,4500,5.3,C,53818,35600
DEV_00086,Samsung,Galaxy S22,72999,2022,2022,25,1,SCR002,Screen Scratch,1,0,0,0,0,3,3.0,0,6.52,C,54140,44600
DEV_00087,Apple,iPhone 13,79900,2021,2023,14,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.02,A,66583,63700
DEV_00088,Apple,iPhone SE,42500,2020,2021,40,1,SCR002,Screen Scratch,1,0,0,0,0,3,3.0,0,6.67,C,26208,22600
DEV_00089,Lenovo,IdeaPad Slim 3,42990,2021,2021,40,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.7,A,26510,26800
DEV_00090,Lenovo,ThinkPad X1,124990,2022,2024,7,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.61,A,114053,107400
DEV_00091,HP,Envy 13,84990,2021,2022,28,4,"CHG001,HNG001,BAT002,AUD001","Charging Port Issue,Broken Hinge,Battery Swelling,Audio Issues",0,0,1,1,1,26,6.5,9500,3.44,D,60909,14200
DEV_00092,Apple,MacBook Air M2,119900,2022,2024,8,2,"SCR001,HNG001","Cracked Screen,Broken Hinge",1,0,0,1,1,16,8.0,7500,1.55,F,107910,39300
DEV_00093,OnePlus,OnePlus 11,56999,2023,2021,43,2,"HNG001,DSP001","Broken Hinge,Display Flickering",1,0,0,1,0,13,6.5,7000,3.63,D,33724,17500
DEV_00094,Dell,Inspiron 15,54990,2021,2024,6,1,AUD001,Audio Issues,0,0,0,0,0,4,4.0,1500,6.18,C,50865,40700
DEV_00095,Samsung,Galaxy Book2 360,109990,2022,2021,45,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.26,A,63244,63400
DEV_00096,HP,Pavilion 15,58990,2022,2022,30,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.97,A,41293,42700
DEV_00097,Samsung,Galaxy Book Pro,89990,2021,2024,4,3,"SCR001,BTN001,SCR002","Cracked Screen,Button Damage,Screen Scratch",1,0,0,1,1,15,5.0,5000,4.86,D,85490,39500
DEV_00098,Apple,iPhone 12,65900,2020,2024,5,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.18,A,61781,59300
DEV_00099,Apple,MacBook Air M2,119900,2022,2024,6,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.76,A,110907,104800
DEV_00100,HP,EliteBook 840,95990,2022,2021,45,1,BTN001,Button Damage,0,0,0,1,0,3,3.0,1000,6.84,C,55194,47900
DEV_00101,OnePlus,OnePlus Nord 3,33999,2023,2023,24,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.76,A,25499,24300
DEV_00102,Dell,XPS 13,99990,2022,2024,2,1,BAT002,Battery Swelling,0,0,1,0,1,10,10.0,3000,0.0,F,97490,35500
DEV_00103,Dell,Latitude 5420,75990,2021,2022,29,1,KEY001,Keyboard Malfunction,0,0,0,0,0,6,6.0,2500,4.09,D,53826,36900
DEV_00104,OnePlus,OnePlus Nord 3,33999,2023,2024,11,1,CAM001,Camera Defect,0,0,0,0,0,5,5.0,3000,5.5,C,29324,21500
DEV_00105,Samsung,Galaxy Note 20,79999,2020,2024,10,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.51,A,69999,66200
DEV_00106,Samsung,Galaxy Z Fold 4,159999,2022,2022,27,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.46,A,115999,113900
DEV_00107,OnePlus,OnePlus 11,56999,2023,2024,7,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.71,A,52011,51300
DEV_00108,Apple,iPhone 11,54900,2019,2022,36,1,DSP001,Display Flickering,1,0,0,0,0,6,6.0,3500,4.44,D,35685,24800
DEV_00109,HP,EliteBook 840,95990,2022,2023,24,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.24,A,71992,70300
DEV_00110,HP,Envy 13,84990,2021,2022,34,1,DSP001,Display Flickering,1,0,0,0,0,6,6.0,3500,3.91,D,56660,36800
DEV_00111,Samsung,Galaxy Book Pro,89990,2021,2022,30,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.26,A,62992,63400
DEV_00112,Dell,Inspiron 15,54990,2021,2022,36,1,WTR001,Water Damage,0,1,0,0,1,10,10.0,8000,0.19,F,35743,10400
DEV_00113,Samsung,Galaxy Z Fold 4,159999,2022,2022,25,1,PHY002,Back Panel Damage,0,0,0,1,0,5,5.0,2500,5.32,C,118665,83500
DEV_00114,HP,Pavilion 15,58990,2022,2021,45,1,BTN001,Button Damage,0,0,0,1,0,3,3.0,1000,7.0,B,33919,29200
DEV_00115,HP,Envy 13,84990,2021,2023,23,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.52,A,64450,62000
DEV_00116,OnePlus,OnePlus 10 Pro,66999,2022,2023,19,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.13,A,53040,51000
DEV_00117,Apple,iPhone 11,54900,2019,2021,41,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.46,A,33397,33100
DEV_00118,Apple,MacBook Pro 14,194900,2021,2022,31,1,OVR001,Overheating,0,0,0,0,1,8,8.0,2000,2.06,F,134805,78700
DEV_00119,Apple,iPhone 11,54900,2019,2024,9,1,OVR001,Overheating,0,0,0,0,1,8,8.0,2000,2.49,F,48723,28400
DEV_00120,Samsung,Galaxy S23 Ultra,124999,2023,2023,24,1,PHY002,Back Panel Damage,0,0,0,1,0,5,5.0,2500,5.32,C,93749,70300
DEV_00121,OnePlus,OnePlus 11,56999,2023,2023,22,1,SCR002,Screen Scratch,1,0,0,0,0,3,3.0,0,7.38,B,43699,36700
DEV_00122,Apple,iPhone SE,42500,2020,2023,22,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.27,A,32583,30700
DEV_00123,Apple,iPhone 13,79900,2021,2024,5,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.19,A,74906,74100
DEV_00124,Lenovo,ThinkPad X1,124990,2022,2023,21,1,HNG001,Broken Hinge,0,0,0,1,0,7,7.0,3500,3.35,D,96867,59500
DEV_00125,Apple,iPhone 14 Pro,129900,2022,2024,11,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.34,A,112038,110300
DEV_00126,Dell,Latitude 5420,75990,2021,2021,42,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.17,A,45594,42600
DEV_00127,OnePlus,OnePlus 11,56999,2023,2021,47,1,CHG001,Charging Port Issue,0,0,0,0,0,5,5.0,1500,5.02,C,31824,22500
DEV_00128,Lenovo,IdeaPad Slim 3,42990,2021,2024,10,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.53,A,37616,36100
DEV_00129,Samsung,Galaxy S23 Ultra,124999,2023,2022,29,1,PHY002,Back Panel Damage,0,0,0,1,0,5,5.0,2500,4.59,D,88540,60000
DEV_00130,Samsung,Galaxy Book2 360,109990,2022,2021,49,1,OVR001,Overheating,0,0,0,0,1,8,8.0,2000,1.78,F,59577,32000
DEV_00131,HP,Envy 13,84990,2021,2022,34,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.1,A,56660,54300
DEV_00132,OnePlus,OnePlus Nord 3,33999,2023,2024,4,1,OVR001,Overheating,0,0,0,0,1,8,8.0,2000,1.69,F,32299,17900
DEV_00133,OnePlus,OnePlus 11,56999,2023,2023,24,2,"SCR002,BAT001","Screen Scratch,Battery Drain",1,0,1,0,0,9,4.5,2500,5.32,C,42749,28800
DEV_00134,OnePlus,OnePlus 10 Pro,66999,2022,2021,40,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.63,A,41316,40800
DEV_00135,Samsung,Galaxy Book2 360,109990,2022,2024,11,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.1,A,94866,96000
DEV_00136,Samsung,Galaxy S23 Ultra,124999,2023,2024,3,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.64,A,120311,117800
DEV_00137,Apple,MacBook Air M2,119900,2022,2023,14,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.13,A,99916,98500
DEV_00138,HP,Envy 13,84990,2021,2023,24,2,"PHY002,BAT001","Back Panel Damage,Battery Drain",0,0,1,1,0,11,5.5,5000,4.1,D,63742,34900
DEV_00139,Dell,Latitude 5420,75990,2021,2022,36,1,DSP001,Display Flickering,1,0,0,0,0,6,6.0,3500,4.13,D,49393,31100
DEV_00140,Samsung,Galaxy Book Pro,89990,2021,2024,5,1,OVR001,Overheating,0,0,0,0,1,8,8.0,2000,1.9,F,84365,47000
DEV_00141,OnePlus,OnePlus Nord 3,33999,2023,2022,26,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.66,A,24932,25800
DEV_00142,OnePlus,OnePlus Nord 3,33999,2023,2022,26,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.61,A,24932,24500
DEV_00143,Samsung,Galaxy S23 Ultra,124999,2023,2024,1,2,"PHY002,CHG001","Back Panel Damage,Charging Port Issue",0,0,0,1,0,10,5.0,4000,5.24,C,123436,75600
DEV_00144,Apple,MacBook Pro 14,194900,2021,2021,47,1,WTR001,Water Damage,0,1,0,0,1,10,10.0,8000,0.44,F,108819,31900
DEV_00145,OnePlus,OnePlus 11,56999,2023,2022,30,1,CHG001,Charging Port Issue,0,0,0,0,0,5,5.0,1500,4.64,D,39899,27500
DEV_00146,Samsung,Galaxy Note 20,79999,2020,2023,15,1,PHY002,Back Panel Damage,0,0,0,1,0,5,5.0,2500,5.33,C,65999,49100
DEV_00147,Samsung,Galaxy S23 Ultra,124999,2023,2023,13,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.92,A,105207,103700
DEV_00148,Lenovo,ThinkPad X1,124990,2022,2021,43,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.26,A,73952,69400
DEV_00149,Samsung,Galaxy Book Pro,89990,2021,2023,15,1,OVR001,Overheating,0,0,0,0,1,8,8.0,2000,1.65,F,74241,40000
DEV_00150,Dell,XPS 13,99990,2022,2023,14,1,BTN001,Button Damage,0,0,0,1,0,3,3.0,1000,6.86,C,83325,72900
DEV_00151,Apple,iPhone 12,65900,2020,2021,49,1,PHY002,Back Panel Damage,0,0,0,1,0,5,5.0,2500,4.51,D,35695,24100
DEV_00152,HP,EliteBook 840,95990,2022,2021,41,1,DSP001,Display Flickering,1,0,0,0,0,6,6.0,3500,4.5,D,58393,39800
DEV_00153,Dell,Inspiron 15,54990,2021,2021,47,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.49,A,30702,31700
DEV_00154,Apple,iPhone 14 Pro,129900,2022,2023,22,1,PHY001,Physical Dent,0,0,0,1,0,4,4.0,2000,5.88,C,99589,78800
DEV_00155,Apple,iPhone 14 Pro,129900,2022,2023,14,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.81,A,108250,111500
DEV_00156,Dell,Inspiron 15,54990,2021,2024,2,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.65,A,53615,55100
DEV_00157,Apple,iPhone 13,79900,2021,2022,35,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.35,A,52600,53900
DEV_00158,Apple,iPhone 14 Pro,129900,2022,2021,40,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.52,A,80105,82100
DEV_00159,Samsung,Galaxy Z Fold 4,159999,2022,2024,2,1,PHY001,Physical Dent,0,0,0,1,0,4,4.0,2000,5.6,C,155999,113600
DEV_00160,Samsung,Galaxy Z Fold 4,159999,2022,2022,26,1,SCR001,Cracked Screen,1,0,0,0,1,9,9.0,4000,0.6,F,117332,54100
DEV_00161,HP,Pavilion 15,58990,2022,2024,10,1,OVR001,Overheating,0,0,0,0,1,8,8.0,2000,2.27,F,51616,29700
DEV_00162,Apple,iPhone 13,79900,2021,2022,27,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.01,A,57927,53900
DEV_00163,Samsung,Galaxy Z Fold 4,159999,2022,2023,16,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.17,A,130665,133800
DEV_00164,Samsung,Galaxy Note 20,79999,2020,2022,31,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.24,A,55332,52500
DEV_00165,Samsung,Galaxy Note 20,79999,2020,2022,27,1,DSP001,Display Flickering,1,0,0,0,0,6,6.0,3500,4.01,D,57999,38600
DEV_00166,OnePlus,OnePlus Nord 3,33999,2023,2024,7,1,AUD001,Audio Issues,0,0,0,0,0,4,4.0,1500,6.36,C,31024,24100
DEV_00167,Samsung,Galaxy Note 20,79999,2020,2024,1,1,CAM001,Camera Defect,0,0,0,0,0,5,5.0,3000,4.82,D,78999,54500
DEV_00168,Samsung,Galaxy Book2 360,109990,2022,2022,36,1,CHG001,Charging Port Issue,0,0,0,0,0,5,5.0,1500,4.97,D,71493,53800
DEV_00169,Lenovo,IdeaPad Slim 3,42990,2021,2021,42,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.23,A,25794,24000
DEV_00170,Samsung,Galaxy A54,38999,2023,2023,19,1,BAT001,Battery Drain,0,0,1,0,0,6,6.0,2500,4.25,D,30874,20300
DEV_00171,Apple,iPhone 12,65900,2020,2023,22,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.56,A,50523,52200
DEV_00172,Lenovo,ThinkPad X1,124990,2022,2021,42,2,"HNG001,AUD001","Broken Hinge,Audio Issues",0,0,0,1,0,11,5.5,5000,4.69,D,74994,42600
DEV_00173,HP,Envy 13,84990,2021,2022,25,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.5,A,63034,63600
DEV_00174,Lenovo,ThinkPad X1,124990,2022,2024,5,1,CAM001,Camera Defect,0,0,0,0,0,5,5.0,3000,4.72,D,117178,83600
DEV_00175,Apple,MacBook Air M2,119900,2022,2024,4,0,NONE,NONE,0,0,0,0,0,0,0.0,0,9.83,A,113905,117900
DEV_00176,Lenovo,IdeaPad Slim 3,42990,2021,2023,13,1,PHY002,Back Panel Damage,0,0,0,1,0,5,5.0,2500,4.8,D,36183,24700
